user_id,timestamp,app,operation,user_group
u001,2026-06-08 09:03:19,飞书,查看会议纪要,学生
u001,2026-06-08 09:03:59,飞书,搜索联系人,学生
u001,2026-06-08 09:04:58,飞书,查看未读消息,学生
u001,2026-06-08 09:05:28,飞书,发送文字消息,学生
u001,2026-06-08 09:06:23,飞书,查看任务,学生
u001,2026-06-08 09:06:37,飞书,搜索聊天记录,学生
u001,2026-06-08 09:07:21,飞书,返回消息列表,学生
u001,2026-06-08 09:09:04,飞书,搜索联系人,学生
u001,2026-06-08 09:09:52,飞书,搜索联系人,学生
u001,2026-06-08 09:10:40,飞书,查看未读消息,学生
u001,2026-06-08 09:11:29,飞书,搜索聊天记录,学生
u001,2026-06-08 09:11:40,飞书,返回消息列表,学生
u001,2026-06-08 09:13:42,飞书,进入单聊,学生
u001,2026-06-08 09:14:20,飞书,进入单聊,学生
u001,2026-06-08 09:14:53,飞书,查看通讯录,学生
u001,2026-06-08 09:15:04,飞书,返回消息列表,学生
u001,2026-06-08 09:19:17,知乎,搜索用户,学生
u001,2026-06-08 09:19:24,知乎,搜索内容,学生
u001,2026-06-08 09:19:30,知乎,查看作者主页,学生
u001,2026-06-08 09:20:28,知乎,搜索内容,学生
u001,2026-06-08 09:21:15,知乎,搜索问题,学生
u001,2026-06-08 09:21:51,知乎,返回首页,学生
u001,2026-06-08 09:23:03,飞书,搜索联系人,学生
u001,2026-06-08 09:24:00,飞书,查看消息列表,学生
u001,2026-06-08 09:24:13,飞书,查看任务,学生
u001,2026-06-08 09:25:04,飞书,查看通讯录,学生
u001,2026-06-08 09:25:50,飞书,加入会议,学生
u001,2026-06-08 09:25:57,飞书,查看审批,学生
u001,2026-06-08 09:26:26,飞书,查看审批,学生
u001,2026-06-08 09:26:47,飞书,返回消息列表,学生
u001,2026-06-08 09:28:02,知乎,查看专栏,学生
u001,2026-06-08 09:28:15,知乎,查看作者主页,学生
u001,2026-06-08 09:28:25,知乎,查看通知,学生
u001,2026-06-08 09:29:04,知乎,编辑草稿,学生
u001,2026-06-08 09:29:13,知乎,查看通知,学生
u001,2026-06-08 09:29:46,知乎,搜索问题,学生
u001,2026-06-08 09:30:11,知乎,编辑草稿,学生
u001,2026-06-08 09:30:36,知乎,关注问题,学生
u001,2026-06-08 09:31:02,知乎,返回首页,学生
u001,2026-06-08 09:33:05,知乎,查看回答,学生
u001,2026-06-08 09:33:18,知乎,搜索问题,学生
u001,2026-06-08 09:34:02,知乎,搜索问题,学生
u001,2026-06-08 09:34:16,知乎,回复评论,学生
u001,2026-06-08 09:35:06,知乎,收藏回答,学生
u001,2026-06-08 09:35:41,知乎,搜索问题,学生
u001,2026-06-08 09:36:24,知乎,返回首页,学生
u001,2026-06-08 09:37:53,明日方舟,查看邮件,学生
u001,2026-06-08 09:38:12,明日方舟,查看邮件,学生
u001,2026-06-08 09:39:03,明日方舟,领取登录奖励,学生
u001,2026-06-08 09:39:38,明日方舟,释放技能,学生
u001,2026-06-08 09:40:16,明日方舟,返回主界面,学生
u001,2026-06-08 09:42:06,知乎,查看回答,学生
u001,2026-06-08 09:42:32,知乎,浏览首页推荐,学生
u001,2026-06-08 09:42:47,知乎,查看专栏,学生
u001,2026-06-08 09:43:01,知乎,关闭知乎,学生
u001,2026-06-08 09:44:27,飞书,搜索联系人,学生
u001,2026-06-08 09:44:58,飞书,查看日历,学生
u001,2026-06-08 09:45:09,飞书,设置消息免打扰,学生
u001,2026-06-08 09:45:54,飞书,查看任务,学生
u001,2026-06-08 09:46:38,飞书,返回消息列表,学生
u001,2026-06-08 09:47:44,米哈游,查看角色资料,学生
u001,2026-06-08 09:47:54,米哈游,查看帖子,学生
u001,2026-06-08 09:48:37,米哈游,查看用户主页,学生
u001,2026-06-08 09:49:27,米哈游,领取活动奖励,学生
u001,2026-06-08 09:50:10,米哈游,返回首页,学生
u001,2026-06-08 09:51:14,知乎,查看私信,学生
u001,2026-06-08 09:51:26,知乎,搜索内容,学生
u001,2026-06-08 09:51:34,知乎,查看私信,学生
u001,2026-06-08 09:52:07,知乎,搜索问题,学生
