user_id,timestamp,foreground_app,opened_apps,user_group
u001,2026-06-08 09:03:00,米哈游,米哈游,学生
u001,2026-06-08 09:04:00,飞书,飞书,学生
u001,2026-06-08 09:06:00,腾讯视频,飞书;腾讯视频,学生
u001,2026-06-08 09:10:00,像素蛋糕,飞书;腾讯视频;像素蛋糕,学生
u001,2026-06-08 09:11:00,腾讯视频,飞书;腾讯视频;像素蛋糕,学生
u001,2026-06-08 09:16:00,腾讯视频,飞书;腾讯视频;像素蛋糕,学生
u001,2026-06-08 09:17:00,像素蛋糕,飞书;腾讯视频;像素蛋糕,学生
u001,2026-06-08 09:21:00,飞书,飞书;腾讯视频;像素蛋糕,学生
u001,2026-06-08 09:26:00,腾讯视频,飞书;腾讯视频;像素蛋糕,学生
u001,2026-06-08 09:31:00,大众点评,飞书;腾讯视频;像素蛋糕;大众点评,学生
u001,2026-06-08 09:32:00,像素蛋糕,飞书;腾讯视频;像素蛋糕;大众点评,学生
u001,2026-06-08 09:34:00,华为浏览器,飞书;腾讯视频;像素蛋糕;华为浏览器,学生
u001,2026-06-08 09:35:00,腾讯视频,飞书;腾讯视频;像素蛋糕;华为浏览器,学生
u001,2026-06-08 09:36:00,央视频,飞书;腾讯视频;像素蛋糕;华为浏览器;央视频,学生
u001,2026-06-08 09:39:00,华为浏览器,飞书;腾讯视频;像素蛋糕;华为浏览器;央视频,学生
u001,2026-06-08 09:40:00,腾讯视频,飞书;腾讯视频;像素蛋糕;华为浏览器;央视频,学生
u001,2026-06-08 09:45:00,腾讯QQ,飞书;腾讯视频;像素蛋糕;华为浏览器;央视频;腾讯QQ,学生
u001,2026-06-08 09:49:00,腾讯QQ,飞书;腾讯视频;像素蛋糕;华为浏览器;央视频;腾讯QQ,学生
u001,2026-06-08 09:51:00,飞书,飞书;腾讯视频;像素蛋糕;华为浏览器;央视频;腾讯QQ,学生
u001,2026-06-08 09:56:00,像素蛋糕,飞书;腾讯视频;像素蛋糕;华为浏览器;央视频;腾讯QQ,学生
u001,2026-06-08 10:01:00,像素蛋糕,飞书;腾讯视频;像素蛋糕;央视频;腾讯QQ,学生
u001,2026-06-08 10:06:00,智慧生活,飞书;腾讯视频;像素蛋糕;央视频;腾讯QQ;智慧生活,学生
u001,2026-06-08 10:07:00,燕云十六声,飞书;腾讯视频;央视频;智慧生活;燕云十六声,学生
u001,2026-06-08 10:08:00,腾讯视频,飞书;腾讯视频;央视频;智慧生活;燕云十六声,学生
u001,2026-06-08 10:13:00,虎牙直播,飞书;腾讯视频;智慧生活;燕云十六声;虎牙直播,学生
u001,2026-06-08 10:15:00,WPS,飞书;腾讯视频;燕云十六声;虎牙直播;WPS,学生
u001,2026-06-08 10:17:00,腾讯视频,飞书;腾讯视频;燕云十六声;虎牙直播;WPS,学生
u001,2026-06-08 10:20:00,WPS,飞书;腾讯视频;燕云十六声;虎牙直播;WPS,学生
u001,2026-06-08 10:23:00,燕云十六声,飞书;腾讯视频;燕云十六声;虎牙直播;WPS,学生
u001,2026-06-08 10:26:00,剪映,飞书;腾讯视频;燕云十六声;虎牙直播;WPS;剪映,学生
u001,2026-06-08 10:30:00,大众点评,飞书;腾讯视频;燕云十六声;WPS;剪映;大众点评,学生
u001,2026-06-08 10:33:00,腾讯视频,腾讯视频;燕云十六声;WPS;剪映;大众点评,学生
u001,2026-06-08 10:35:00,腾讯视频,腾讯视频;燕云十六声;WPS;剪映;大众点评,学生
u001,2026-06-08 10:40:00,腾讯视频,腾讯视频;燕云十六声;WPS;剪映;大众点评,学生
u001,2026-06-08 10:45:00,爱奇艺,腾讯视频;燕云十六声;WPS;剪映;大众点评;爱奇艺,学生
u001,2026-06-08 10:47:00,剪映,腾讯视频;燕云十六声;WPS;剪映;大众点评;爱奇艺,学生
u001,2026-06-08 10:48:00,青云诀,腾讯视频;燕云十六声;WPS;剪映;爱奇艺;青云诀,学生
u001,2026-06-08 10:53:00,华为浏览器,腾讯视频;燕云十六声;WPS;剪映;青云诀;华为浏览器,学生
u001,2026-06-08 10:54:00,哔哩哔哩,腾讯视频;燕云十六声;青云诀;华为浏览器;哔哩哔哩,学生
u001,2026-06-08 10:55:00,爱奇艺,燕云十六声;青云诀;华为浏览器;哔哩哔哩;爱奇艺,学生
u001,2026-06-08 10:57:00,燕云十六声,燕云十六声;青云诀;华为浏览器;哔哩哔哩;爱奇艺,学生
u001,2026-06-08 10:58:00,华为钱包,燕云十六声;青云诀;华为浏览器;哔哩哔哩;爱奇艺;华为钱包,学生
u001,2026-06-08 11:02:00,腾讯QQ,燕云十六声;青云诀;华为浏览器;哔哩哔哩;华为钱包;腾讯QQ,学生
u001,2026-06-08 11:05:00,华为钱包,燕云十六声;青云诀;华为浏览器;哔哩哔哩;华为钱包;腾讯QQ,学生
u001,2026-06-08 11:09:00,腾讯QQ,燕云十六声;青云诀;华为浏览器;哔哩哔哩;华为钱包;腾讯QQ,学生
u001,2026-06-08 11:11:00,央视影音,燕云十六声;青云诀;哔哩哔哩;华为钱包;腾讯QQ;央视影音,学生
u001,2026-06-08 11:15:00,腾讯QQ,燕云十六声;青云诀;哔哩哔哩;华为钱包;腾讯QQ;央视影音,学生
u001,2026-06-08 11:18:00,央视影音,青云诀;哔哩哔哩;华为钱包;腾讯QQ;央视影音,学生
u001,2026-06-08 11:21:00,青云诀,青云诀;哔哩哔哩;华为钱包;腾讯QQ;央视影音,学生
u001,2026-06-08 11:26:00,腾讯QQ,青云诀;哔哩哔哩;华为钱包;腾讯QQ;央视影音,学生
u001,2026-06-08 11:27:00,央视影音,青云诀;哔哩哔哩;华为钱包;腾讯QQ;央视影音,学生
u001,2026-06-08 11:31:00,抖音,青云诀;哔哩哔哩;华为钱包;腾讯QQ;央视影音;抖音,学生
u001,2026-06-08 11:32:00,抖音,青云诀;哔哩哔哩;华为钱包;腾讯QQ;央视影音;抖音,学生
